fund_id,symbol,fund_name,amc,fund_classification,management_style,dividend_policy,risk_level,fund_type,nav_date,nav_value,nav_change,nav_change_percent,net_asset,buy_price,sell_price,nav_history_count,nav_history_first_date,nav_history_last_date,nav_history_min,nav_history_max,perf_ytd,perf_3m,perf_6m,perf_1y,perf_3y,perf_5y,perf_10y,perf_since_inception,benchmark_name,benchmark_ytd,benchmark_3m,benchmark_6m,benchmark_1y,benchmark_3y,benchmark_5y,benchmark_10y,dividends_count,dividends_total,dividends_last_date,asset_allocation_json,fees_count,fees_json,parties_count,parties_json,risk_factors_count,risk_factors_json,suitability_investment_horizon,suitability_risk_level,suitability_target_investor,factsheet_url,annual_report_url,halfyear_report_url,min_initial,min_additional,min_redemption,min_balance,data_fetched_at,errors_count,errors_json
M0774_2554,ABAPAC-RMF,abrdn Asia Pacific Equity Retirement Mutual Fund,ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED,EQASxJP,AM,No,6,RMF,2025-11-07,15.626,15.626,0,590630848,15.626,15.6261,28,2025-09-26,2025-11-07,14.8926,16.1174,8.8,10.62,12.71,6.65,3.45,0.42,2.7,3.07,ดัชนี MSCI AC Asia-Pacific ex Japan,18.78,11.28,19.14,16.28,14.7,7.24,7.35,0,,,"[{""asset_class"":""Unit Trust"",""percentage"":98.9},{""asset_class"":""Cash and Others"",""percentage"":1.1}]",7,"[{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการขายหน่วยลงทุน (Front-end Fee)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการจัดการ"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการรับซื้อคืนหน่วยลงทุน (Back-end Fee)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนเข้า (SWITCHING IN)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนออก (SWITCHING OUT)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการโอนหน่วยลงทุน"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมและค่าใช้จ่ายรวมทั้งหมด"",""fee_value"":null,""fee_remark"":null}]",2,"[{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""}]",3,"[{""risk_type"":""Unknown"",""risk_desc"":""""},{""risk_type"":""Unknown"",""risk_desc"":""""},{""risk_type"":""Unknown"",""risk_desc"":""""}]",,4LmA4Liq4Li14LmI4Lii4LiH4Liq4Li54LiHbuC4peC4h+C4l+C4uOC4meC5g+C4meC4leC4o+C4suC4quC4suC4o+C4l+C4uOC4meC5gOC4m+C5h+C4meC4q+C4peC4seC4geC5guC4lOC4ouC5gOC4ieC4peC4teC5iOC4ouC5g+C4meC4o+C4reC4muC4m+C4teC5hOC4oeC5iOC4meC5ieC4reC4ouC4geC4p+C5iOC4suC4o+C5ieC4reC4ouC4peC4sCA4MCDguILguK3guIcgTkFW,,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0774_2554.pdf,-,-,1000,1000,,,2025-11-11T06:10:41.753Z,3,"[""No risk metrics available"",""No category data available"",""No top holdings data available""]"
M0570_2565,ABGDD-RMF,abrdn Global Dynamic Dividend Retirement Mutual Fund,ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED,EQGL,AN,No,6,RMF,2025-11-07,12.2747,12.2747,0,94761704,12.2747,12.2748,29,2025-09-26,2025-11-07,12.1199,12.5823,10.39,5.5,11.82,6.42,,,,7.63,,,,,,,,,0,,,"[{""asset_class"":""Unit Trust"",""percentage"":97.54},{""asset_class"":""Cash and Others"",""percentage"":2.46}]",6,"[{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการขายหน่วยลงทุน (Front-end Fee)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการจัดการ"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการรับซื้อคืนหน่วยลงทุน (Back-end Fee)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนเข้า (SWITCHING IN)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนออก (SWITCHING OUT)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมและค่าใช้จ่ายรวมทั้งหมด"",""fee_value"":null,""fee_remark"":null}]",2,"[{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""}]",0,,,4LmA4Liq4Li14LmI4Lii4LiH4Liq4Li54LiHbuC4peC4h+C4l+C4uOC4meC5g+C4meC4leC4o+C4suC4quC4suC4o+C4l+C4uOC4meC5gOC4m+C5h+C4meC4q+C4peC4seC4geC5guC4lOC4ouC5gOC4ieC4peC4teC5iOC4ouC5g+C4meC4o+C4reC4muC4m+C4teC5hOC4oeC5iOC4meC5ieC4reC4ouC4geC4p+C5iOC4suC4o+C5ieC4reC4ouC4peC4sCA4MCDguILguK3guIcgTkFW,,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0570_2565.pdf,-,-,1000,1000,,,2025-11-11T06:10:42.105Z,5,"[""No benchmark data available"",""No risk metrics available"",""No category data available"",""No top holdings data available"",""No risk factors data available""]"
M0140_2545,ABSC-RMF,abrdn Smart Capital Retirement Mutual Fund,ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED,EQGEN,AM,No,6,RMF,2025-11-10,63.1157,63.1157,0,2664001280,63.1157,63.1158,29,2025-09-29,2025-11-10,61.7868,64.0604,-9.89,13.53,6.56,-16.35,-7.65,-1.85,-2.09,8.33,ดัชนีผลตอบแทนรวมตลาดหลักทรัพย์แห่งประเทศไทย (SET TRI),-5.43,18.03,12.79,-8.4,-3.84,3.86,2.66,0,,,"[{""asset_class"":""Equity"",""percentage"":95.81},{""asset_class"":""Cash and Others"",""percentage"":4.19}]",7,"[{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการขายหน่วยลงทุน (Front-end Fee)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการจัดการ"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการรับซื้อคืนหน่วยลงทุน (Back-end Fee)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนเข้า (SWITCHING IN)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนออก (SWITCHING OUT)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการโอนหน่วยลงทุน"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมและค่าใช้จ่ายรวมทั้งหมด"",""fee_value"":null,""fee_remark"":null}]",2,"[{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""}]",3,"[{""risk_type"":""Unknown"",""risk_desc"":""""},{""risk_type"":""Unknown"",""risk_desc"":""""},{""risk_type"":""Unknown"",""risk_desc"":""""}]",,4LmA4Liq4Li14LmI4Lii4LiH4Liq4Li54LiHbuC4peC4h+C4l+C4uOC4meC5g+C4meC4leC4o+C4suC4quC4suC4o+C4l+C4uOC4meC5gOC4m+C5h+C4meC4q+C4peC4seC4geC5guC4lOC4ouC5gOC4ieC4peC4teC5iOC4ouC5g+C4meC4o+C4reC4muC4m+C4teC5hOC4oeC5iOC4meC5ieC4reC4ouC4geC4p+C5iOC4siA4MCAlIOC4guC4reC4hyBOQVY=,,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0140_2545.pdf,-,-,1000,1000,0,,2025-11-11T06:10:42.408Z,3,"[""No risk metrics available"",""No category data available"",""No top holdings data available""]"
M0141_2545,ABSI-RMF,abrdn Smart Income Retirement Mutual Fund,ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED,FIXGOV,AM,No,4,RMF,2025-11-10,13.1886,13.1886,0,517264896,13.1886,13.1887,29,2025-09-29,2025-11-10,13.1855,13.2059,1.55,0.49,1.01,2.06,1.56,0.9,0.81,1.22,ดัชนีตราสารหนี้ภาครัฐระยะสั้น (Short-term Government Bond Index),1.36,0.41,0.88,2.01,1.85,1.28,1.43,0,,,"[{""asset_class"":""Bank of Thailand Bond"",""percentage"":53.99},{""asset_class"":""Corporate Bond"",""percentage"":37.45},{""asset_class"":""Government Bond"",""percentage"":6.02},{""asset_class"":""Cash and Others"",""percentage"":2.54}]",7,"[{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการขายหน่วยลงทุน (Front-end Fee)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการจัดการ"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการรับซื้อคืนหน่วยลงทุน (Back-end Fee)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนเข้า (SWITCHING IN)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนออก (SWITCHING OUT)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการโอนหน่วยลงทุน"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมและค่าใช้จ่ายรวมทั้งหมด"",""fee_value"":null,""fee_remark"":null}]",2,"[{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""}]",4,"[{""risk_type"":""Unknown"",""risk_desc"":""""},{""risk_type"":""Unknown"",""risk_desc"":""""},{""risk_type"":""Unknown"",""risk_desc"":""""},{""risk_type"":""Unknown"",""risk_desc"":""""}]",,4LmA4Liq4Li14LmI4Lii4LiH4Lib4Liy4LiZ4LiB4Lil4Liy4LiH4LiE4LmI4Lit4LiZ4LiC4LmJ4Liy4LiH4LiV4LmI4LizbuC4peC4h+C4l+C4uOC4meC5g+C4meC4nuC4seC4meC4mOC4muC4seC4leC4o+C4o+C4seC4kOC4muC4suC4peC5geC4peC4sOC4leC4o+C4suC4quC4suC4o+C4q+C4meC4teC5ieC5gOC4reC4geC4iuC4meC5guC4lOC4ouC4oeC4teC4leC4o+C4suC4quC4suC4o25vbi1pbnZlc3RtZW50IGdyYWRlIC8gdW5yYXRlZCDguYTguKHguYjguYDguIHguLTguJkgMjAgJSDguILguK3guIcgTkFW,,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0141_2545.pdf,-,-,1000,1000,0,,2025-11-11T06:10:42.229Z,3,"[""No risk metrics available"",""No category data available"",""No top holdings data available""]"
M0569_2565,ABSM-RMF,abrdn Small-Mid Cap Retirement Mutual Fund,ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED,EQSM,AM,No,6,RMF,2025-11-10,7.1044,7.1044,0,35387744,7.1044,7.1045,29,2025-09-29,2025-11-10,7.0497,7.5047,-15.48,10.65,5.03,-24.7,,,,-10.13,ดัชนีผลตอบแทนรวมตลาดหลักทรัพย์แห่งประเทศไทย (SET TRI),-5.43,18.03,12.79,-8.4,,,,0,,,"[{""asset_class"":""Equity"",""percentage"":97.3},{""asset_class"":""Cash and Others"",""percentage"":2.7}]",6,"[{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการขายหน่วยลงทุน (Front-end Fee)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการจัดการ"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการรับซื้อคืนหน่วยลงทุน (Back-end Fee)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนเข้า (SWITCHING IN)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนออก (SWITCHING OUT)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมและค่าใช้จ่ายรวมทั้งหมด"",""fee_value"":null,""fee_remark"":null}]",2,"[{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""}]",0,,,4LmA4Liq4Li14LmI4Lii4LiH4Liq4Li54LiHbuC4peC4h+C4l+C4uOC4meC5g+C4meC4leC4o+C4suC4quC4suC4o+C4l+C4uOC4meC5gOC4m+C5h+C4meC4q+C4peC4seC4geC5guC4lOC4ouC5gOC4ieC4peC4teC5iOC4ouC5g+C4meC4o+C4reC4muC4m+C4teC5hOC4oeC5iOC4meC5ieC4reC4ouC4geC4p+C5iOC4siA4MCAlIOC4guC4reC4hyBOQVY=,,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0569_2565.pdf,-,-,1000,1000,,,2025-11-11T06:11:02.231Z,4,"[""No risk metrics available"",""No category data available"",""No top holdings data available"",""No risk factors data available""]"
M0525_2566,AFMOATHRMF,AF US WIDE MOAT HEDGE RETIREMENT MUTUAL FUND,TALIS ASSET MANAGEMENT COMPANY LIMITED,EQUS,PN,No,6,RMF,2025-11-07,12.052,12.052,0,31645146,12.052,12.0521,29,2025-09-26,2025-11-07,11.8568,12.4208,2.81,4.41,9.39,-1.49,,,,9.81,ผลการดำเนินงานของกองทุนรวมหลัก,7.15,5.67,12.63,2.23,,,,0,,,"[{""asset_class"":""หน่วยลงทุน"",""percentage"":99.65},{""asset_class"":""เงินฝากธนาคาร"",""percentage"":1.57},{""asset_class"":""สินทรัพย์อื่นหรือหนี้สินอื่น"",""percentage"":-0.26},{""asset_class"":""สัญญาซื้อขายล่วงหน้า"",""percentage"":-0.96}]",9,"[{""fee_type"":""Unknown"",""fee_desc"":""ค่าใช้จ่ายอื่นๆ"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการขายหน่วยลงทุน (Front-end Fee)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการจัดการ"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการรับซื้อคืนหน่วยลงทุน (Back-end Fee)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนเข้า (SWITCHING IN)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนออก (SWITCHING OUT)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมนายทะเบียนหน่วย"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมผู้ดูแลผลประโยชน์"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมและค่าใช้จ่ายรวมทั้งหมด"",""fee_value"":null,""fee_remark"":null}]",2,"[{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""}]",0,,,4Lil4LiH4LiX4Li44LiZ4LmD4LiZ4LiV4Lij4Liy4Liq4Liy4Lij4LiX4Li44LiZ4LmA4Lib4LmH4LiZ4Lir4Lil4Lix4LiB4LmC4LiU4Lii4LmA4LiJ4Lil4Li14LmI4Lii4LmD4LiZ4Lij4Lit4Lia4Lib4Li14LmE4Lih4LmI4LiZ4LmJ4Lit4Lii4LiB4Lin4LmI4LiyIDgwJSDguILguK3guIcgTkFW,,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0525_2566.pdf,-,-,1000,1,,,2025-11-11T06:11:02.456Z,4,"[""No risk metrics available"",""No category data available"",""No top holdings data available"",""No risk factors data available""]"
M0542_2560,ASP-AIEQRMF,Asset Plus Artificial Intelligence Equity Growth RMF Fund,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,-,AM,No,6,RMF,2025-11-07,13.0801,13.0801,0,164788336,13.0801,13.0802,29,2025-09-26,2025-11-07,12.403,13.7779,8.05,13.45,34.85,13.39,11.41,-0.87,,2.97,MSCI ACWI IMI Robotics & AI Net USD Index,22.96,10.68,34.79,22.08,23.4,13.42,,0,,,"[{""asset_class"":""หน่วยลงทุน"",""percentage"":58.51},{""asset_class"":""ตราสารทุน"",""percentage"":39.5},{""asset_class"":""เงินฝาก/ตั๋วแลกเงิน"",""percentage"":2.57},{""asset_class"":""อื่นๆ"",""percentage"":-0.58}]",3,"[{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการจัดการ"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนออก (SWITCHING OUT)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมและค่าใช้จ่ายรวมทั้งหมด"",""fee_value"":null,""fee_remark"":null}]",3,"[{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""}]",3,"[{""risk_type"":""Unknown"",""risk_desc"":""""},{""risk_type"":""Unknown"",""risk_desc"":""""},{""risk_type"":""Unknown"",""risk_desc"":""""}]",,4Lil4LiH4LiX4Li44LiZ4LmD4LiZ4LiV4Lij4Liy4Liq4Liy4Lij4LiX4Li44LiZ4LmA4Lib4LmH4LiZ4Lir4Lil4Lix4LiBIOC5guC4lOC4ouC5gOC4ieC4peC4teC5iOC4ouC5g+C4meC4o+C4reC4muC4m+C4teC5hOC4oeC5iOC4meC5ieC4reC4ouC4geC4p+C5iOC4siA4MCUg4LiC4Lit4LiHIE5BVg==,,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0542_2560.pdf,-,-,1000,1000,,,2025-11-11T06:11:02.460Z,3,"[""No risk metrics available"",""No category data available"",""No top holdings data available""]"
M0497_2564,ASP-DIGIBLOCRMF,Asset Plus Digital Blockchain RMF Fund,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,-,AM,No,6,RMF,2025-11-07,14.7174,14.7174,0,279729664,14.7174,14.7175,29,2025-09-26,2025-11-07,12.825,17.198,43.7,36.45,128.83,76.66,47.39,,,8.49,MVIS Global Digital Assets Equity Index Total Return Net,39.55,31.33,129.24,90.8,54.1,,,0,,,"[{""asset_class"":""หน่วยลงทุน"",""percentage"":69.67},{""asset_class"":""ตราสารทุน"",""percentage"":29.04},{""asset_class"":""เงินฝาก/ตั๋วแลกเงิน"",""percentage"":2.92},{""asset_class"":""อื่นๆ"",""percentage"":-1.63}]",3,"[{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการจัดการ"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนออก (SWITCHING OUT)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมและค่าใช้จ่ายรวมทั้งหมด"",""fee_value"":null,""fee_remark"":null}]",5,"[{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""}]",2,"[{""risk_type"":""Unknown"",""risk_desc"":""""},{""risk_type"":""Unknown"",""risk_desc"":""""}]",,4Lil4LiH4LiX4Li44LiZ4LmD4LiZ4LiV4Lij4Liy4Liq4Liy4Lij4LiX4Li44LiZ4LmA4Lib4LmH4LiZ4Lir4Lil4Lix4LiBIOC5guC4lOC4ouC5gOC4ieC4peC4teC5iOC4ouC5g+C4meC4o+C4reC4muC4m+C4teC5hOC4oeC5iOC4meC5ieC4reC4ouC4geC4p+C5iOC4siA4MCUg4LiC4Lit4LiHIE5BVg==,,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0497_2564.pdf,-,-,1000,1000,,,2025-11-11T06:11:02.454Z,3,"[""No risk metrics available"",""No category data available"",""No top holdings data available""]"
M0271_2561,ASP-DISRUPTRMF,Asset Plus Disruptive Opportunities RMF Fund,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,EQGL,AM,No,6,RMF,2025-11-07,12.0638,12.0638,0,93772736,12.0638,12.0639,29,2025-09-26,2025-11-07,12.0331,12.8394,8.17,7.53,23.09,14.98,10.78,-2.15,,2.79,ดัชนี MSCI AC World NETR USD Index ,12.21,7.31,14.63,18.09,17.02,14.05,,0,,,"[{""asset_class"":""ตราสารทุน"",""percentage"":51.52},{""asset_class"":""หน่วยลงทุน"",""percentage"":45.88},{""asset_class"":""เงินฝาก/ตั๋วแลกเงิน"",""percentage"":2.72},{""asset_class"":""อื่นๆ"",""percentage"":-0.12}]",3,"[{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการจัดการ"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนออก (SWITCHING OUT)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมและค่าใช้จ่ายรวมทั้งหมด"",""fee_value"":null,""fee_remark"":null}]",3,"[{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""}]",3,"[{""risk_type"":""Unknown"",""risk_desc"":""""},{""risk_type"":""Unknown"",""risk_desc"":""""},{""risk_type"":""Unknown"",""risk_desc"":""""}]",,4Lil4LiH4LiX4Li44LiZ4LmD4LiZ4LiV4Lij4Liy4Liq4Liy4Lij4LiX4Li44LiZ4LmA4Lib4LmH4LiZ4Lir4Lil4Lix4LiBIOC5guC4lOC4ouC5gOC4ieC4peC4teC5iOC4ouC5g+C4meC4o+C4reC4muC4m+C4teC5hOC4oeC5iOC4meC5ieC4reC4ouC4geC4p+C5iOC4siA4MCUg4LiC4Lit4LiHIE5BVg==,,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0271_2561.pdf,-,-,1000,1000,,,2025-11-11T06:11:23.331Z,3,"[""No risk metrics available"",""No category data available"",""No top holdings data available""]"
M0776_2547,ASP-ERF,Asset Plus Equity RMF,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,EQGEN,AM,No,6,RMF,2025-11-10,28.9871,28.9871,0,213749328,28.9871,28.9872,29,2025-09-29,2025-11-10,27.9022,29.1603,-13.98,11.56,0.07,-16.97,-8.09,1.46,2.13,5.11,ดัชนีผลตอบแทนรวมตลาดหลักทรัพย์แห่งประเทศไทย (SET TRI),-5.43,18.03,12.79,-8.4,-3.84,3.86,2.66,0,,,"[{""asset_class"":""ตราสารทุน"",""percentage"":93.73},{""asset_class"":""เงินฝาก/ตั๋วแลกเงิน"",""percentage"":3.47},{""asset_class"":""อื่นๆ"",""percentage"":2.8}]",6,"[{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการขายหน่วยลงทุน (Front-end Fee)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการจัดการ"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการรับซื้อคืนหน่วยลงทุน (Back-end Fee)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนเข้า (SWITCHING IN)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุนออก (SWITCHING OUT)"",""fee_value"":null,""fee_remark"":null},{""fee_type"":""Unknown"",""fee_desc"":""ค่าธรรมเนียมและค่าใช้จ่ายรวมทั้งหมด"",""fee_value"":null,""fee_remark"":null}]",8,"[{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""},{""party_role"":""Unknown"",""party_name"":""Unknown""}]",3,"[{""risk_type"":""Unknown"",""risk_desc"":""""},{""risk_type"":""Unknown"",""risk_desc"":""""},{""risk_type"":""Unknown"",""risk_desc"":""""}]",,4Lil4LiH4LiX4Li44LiZ4LmD4LiZ4LiV4Lij4Liy4Liq4Liy4Lij4LiX4Li44LiZ4LmA4Lib4LmH4LiZ4Lir4Lil4Lix4LiBIOC5guC4lOC4ouC5gOC4ieC4peC4teC5iOC4ouC5g+C4meC4o+C4reC4muC4m+C4teC5hOC4oeC5iOC4meC5ieC4reC4ouC4geC4p+C5iOC4siA4MCUg4LiC4Lit4LiHIE5BVg==,,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0776_2547.pdf,-,-,1000,1000,,,2025-11-11T06:11:23.096Z,3,"[""No risk metrics available"",""No category data available"",""No top holdings data available""]"
